experiment,pioreactor_unit,timestamp,event_name,message,data,timestamp_localtime,hours_since_experiment_created
06_25 Bacillus turbido,P01,2025-06-26T13:37:13.276Z,DilutionEvent,Latest OD = 0.04 ≥ Target OD = 0.04; cycled 6.00 mL,"{""latest_od"": 0.040066716047472105, ""target_od"": 0.04, ""volume"": 6.0}",2025-06-26 15:37:13,28.075833333333332
06_25 Bacillus turbido,P02,2025-06-25T17:29:43.679Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:29:43,7.950833333333334
06_25 Bacillus turbido,P02,2025-06-25T17:29:58.666Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:29:58,7.955
06_25 Bacillus turbido,P02,2025-06-25T17:30:13.665Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:30:13,7.9591666666666665
06_25 Bacillus turbido,P02,2025-06-25T17:30:28.668Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:30:28,7.963333333333333
06_25 Bacillus turbido,P02,2025-06-25T17:30:43.666Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:30:43,7.9675
06_25 Bacillus turbido,P02,2025-06-25T17:30:58.665Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:30:58,7.971666666666667
06_25 Bacillus turbido,P02,2025-06-25T17:31:13.667Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:31:13,7.975833333333333
06_25 Bacillus turbido,P02,2025-06-25T17:31:28.666Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:31:28,7.98
06_25 Bacillus turbido,P02,2025-06-25T17:31:43.666Z,ErrorOccurred,readings are too stale (over 5 minutes old) - is `od_reading` running?. Last reading occurred at 2025-06-25 17:24:41.998000+00:00.,,2025-06-25 19:31:43,7.984166666666667
